id,title,context,question,answers
57321a39e99e3014001e651c,Bird,"Birds have featured in culture and art since prehistoric times, when they were represented in early cave paintings. Some birds have been perceived as monsters, including the mythological Roc and the Māori's legendary Pouākai, a giant bird capable of snatching humans. Birds were later used as symbols of power, as in the magnificent Peacock Throne of the Mughal and Persian emperors. With the advent of scientific interest in birds, many paintings of birds were commissioned for books. Among the most famous of these bird artists was John James Audubon, whose paintings of North American birds were a great commercial success in Europe and who later lent his name to the National Audubon Society. Birds are also important figures in poetry; for example, Homer incorporated nightingales into his Odyssey, and Catullus used a sparrow as an erotic symbol in his Catullus 2. The relationship between an albatross and a sailor is the central theme of Samuel Taylor Coleridge's The Rime of the Ancient Mariner, which led to the use of the term as a metaphor for a 'burden'. Other English metaphors derive from birds; vulture funds and vulture investors, for instance, take their name from the scavenging vulture.",When were birds represented in early cave paintings?,since prehistoric times
572845efff5b5019007da098,History_of_India,"The Kuru kingdom was the first state-level society of the Vedic period, corresponding to the beginning of the Iron Age in northwestern India, around 1200 – 800 BCE, as well as with the composition of the Atharvaveda (the first Indian text to mention iron, as śyāma ayas, literally ""black metal""). The Kuru state organized the Vedic hymns into collections, and developed the orthodox srauta ritual to uphold the social order. When the Kuru kingdom declined, the center of Vedic culture shifted to their eastern neighbours, the Panchala kingdom. The archaeological Painted Grey Ware culture, which flourished in the Haryana and western Uttar Pradesh regions of northern India from about 1100 to 600 BCE, is believed to correspond to the Kuru and Panchala kingdoms.","When the Kuru kingdom declined, to what kingdom did Vedic culture go?",Panchala
572ac63e34ae481900deacd0,John_Kerry,"In the State Department, Kerry quickly earned a reputation ""for being aloof, keeping to himself, and not bothering to read staff memos."" Career State Department officials have complained that power has become too centralized under Kerry's leadership, which slows department operations when Kerry is on one of his frequent overseas trips. Others in State describe Kerry as having ""a kind of diplomatic attention deficit disorder"" as he shifts from topic to topic instead of focusing on long-term strategy. When asked whether he was traveling too much, he responded, ""Hell no. I'm not slowing down."" Despite Kerry's early achievements, morale at State is lower than under Hillary Clinton according to department employees. However, after Kerry's first six months in the State Department, a Gallup poll found he had high approval ratings among Americans as Secretary of State. After a year, another poll showed Kerry's favorability continued to rise. Less than two years into Kerry's term, the Foreign Policy Magazine's 2014 Ivory Tower survey of international relations scholars asked, ""Who was the most effective U.S. Secretary of State in the past 50 years?""; John Kerry and Lawrence Eagleburger tied for 11th place out of the 15 confirmed Secretaries of State in that period.",Who published the Ivory Tower Survey?,Foreign Policy Magazine
5727eaf0ff5b5019007d987d,Cork_(city),"There are a variety of watersports in Cork, including rowing and sailing. There are five rowing clubs training on the river Lee, including Shandon BC, UCC RC, Pres RC, Lee RC, and Cork BC. Naomhóga Chorcaí is a rowing club whose members row traditional naomhóga on the Lee in occasional competitions. The ""Ocean to City"" race has been held annually since 2005, and attracts teams and boats from local and visiting clubs who row the 24 kilometres (15 mi) from Crosshaven into Cork city centre. The decision to move the National Rowing Center to Inniscarra has boosted numbers involved in the sport.[citation needed] Cork's maritime sailing heritage is maintained through its sailing clubs. The Royal Cork Yacht Club located in Crosshaven (outside the city) is the world's oldest yacht club, and ""Cork Week"" is a notable sailing event.",How many rowing clubs are in Cork?,five
56e1a498e3433e1400423078,Hydrogen,"Hydrogen is not an energy resource, except in the hypothetical context of commercial nuclear fusion power plants using deuterium or tritium, a technology presently far from development. The Sun's energy comes from nuclear fusion of hydrogen, but this process is difficult to achieve controllably on Earth. Elemental hydrogen from solar, biological, or electrical sources require more energy to make it than is obtained by burning it, so in these cases hydrogen functions as an energy carrier, like a battery. Hydrogen may be obtained from fossil sources (such as methane), but these sources are unsustainable.",How does hydrogen function when it s burned?,energy carrier
57267902dd62a815002e864b,Data_compression,"The Lempel–Ziv (LZ) compression methods are among the most popular algorithms for lossless storage. DEFLATE is a variation on LZ optimized for decompression speed and compression ratio, but compression can be slow. DEFLATE is used in PKZIP, Gzip and PNG. LZW (Lempel–Ziv–Welch) is used in GIF images. Also noteworthy is the LZR (Lempel-Ziv–Renau) algorithm, which serves as the basis for the Zip method.[citation needed] LZ methods use a table-based compression model where table entries are substituted for repeated strings of data. For most LZ methods, this table is generated dynamically from earlier data in the input. The table itself is often Huffman encoded (e.g. SHRI, LZX). Current LZ-based coding schemes that perform well are Brotli and LZX. LZX is used in Microsoft's CAB format.",What is a current LZ based coding scheme that does well?,Brotli
56de5ef44396321400ee2862,Institute_of_technology,"Institutes of technology in Venezuela were developed in the 1950s as an option for post-secondary education in technical and scientific courses, after the polytechnic French concepts. At that time, technical education was considered essential for the development of a sound middle class economy.",When did Venezuela begin to create institutes of technology?,1950s
572f958ca23a5019007fc7b8,Transistor,"The bipolar junction transistor (BJT) was the most commonly used transistor in the 1960s and 70s. Even after MOSFETs became widely available, the BJT remained the transistor of choice for many analog circuits such as amplifiers because of their greater linearity and ease of manufacture. In integrated circuits, the desirable properties of MOSFETs allowed them to capture nearly all market share for digital circuits. Discrete MOSFETs can be applied in transistor applications, including analog circuits, voltage regulators, amplifiers, power transmitters and motor drivers.",Why were BJTs so popular?,their greater linearity and ease of manufacture
570a58a06d058f1900182d74,Imperial_College_London,"The Great Exhibition was organised by Prince Albert, Henry Cole, Francis Fuller and other members of the Royal Society for the Encouragement of Arts, Manufactures and Commerce. The Great Exhibition made a surplus of £186,000 used in creating an area in the South of Kensington celebrating the encouragement of the arts, industry, and science. Albert insisted the Great Exhibition surplus should be used as a home for culture and education for everyone. His commitment was to find practical solutions to today's social challenges. Prince Albert's vision built the Victoria and Albert Museum, Science Museum, Natural History Museum, Geological Museum, Royal College of Science, Royal College of Art, Royal School of Mines, Royal School of Music, Royal College of Organists, Royal School of Needlework, Royal Geographical Society, Institute of Recorded Sound, Royal Horticultural Gardens, Royal Albert Hall and the Imperial Institute. Royal colleges and the Imperial Institute merged to form what is now Imperial College London.",What did the Royal colleges and Imperial Institute form when they merged?,Imperial College London
572996166aef051400154ff2,Serbo-Croatian,"Comparative and historical linguistics offers some clues for memorising the accent position: If one compares many standard Serbo-Croatian words to e.g. cognate Russian words, the accent in the Serbo-Croatian word will be one syllable before the one in the Russian word, with the rising tone. Historically, the rising tone appeared when the place of the accent shifted to the preceding syllable (the so-called ""Neoshtokavian retraction""), but the quality of this new accent was different – its melody still ""gravitated"" towards the original syllable. Most Shtokavian dialects (Neoshtokavian) dialects underwent this shift, but Chakavian, Kajkavian and the Old Shtokavian dialects did not.",What is the term used when shifing the acent to the next preceding syllable?,"""Neoshtokavian retraction"""
57294ab76aef051400154c71,Bermuda,"The war had removed Bermuda's primary trading partners, the American colonies, from the empire, and dealt a harsh blow to Bermuda's merchant shipping trade. This also suffered due to the deforestation of Bermuda, as well as the advent of metal ships and steam propulsion, for which it did not have raw materials. During the course of the following War of 1812, the primary market for Bermuda's salt disappeared as the Americans developed their own sources. Control of the Turks had passed to the Bahamas in 1819.",What is a factor that hurt Bermuda's merchant shipping?,deforestation
5727816ddd62a815002e9ef3,Switzerland,"Thus, while the rest of Europe saw revolutionary uprisings, the Swiss drew up a constitution which provided for a federal layout, much of it inspired by the American example. This constitution provided for a central authority while leaving the cantons the right to self-government on local issues. Giving credit to those who favoured the power of the cantons (the Sonderbund Kantone), the national assembly was divided between an upper house (the Council of States, two representatives per canton) and a lower house (the National Council, with representatives elected from across the country). Referenda were made mandatory for any amendment of this constitution.","Under the new Swiss constitution, what did the cantons have the right to self-govern?",local issues
5728f2282ca10214002dab00,Samurai,"Emperor Meiji abolished the samurai's right to be the only armed force in favor of a more modern, western-style, conscripted army in 1873. Samurai became Shizoku (士族) who retained some of their salaries, but the right to wear a katana in public was eventually abolished along with the right to execute commoners who paid them disrespect. The samurai finally came to an end after hundreds of years of enjoyment of their status, their powers, and their ability to shape the government of Japan. However, the rule of the state by the military class was not yet over. In defining how a modern Japan should be, members of the Meiji government decided to follow the footsteps of the United Kingdom and Germany, basing the country on the concept of noblesse oblige. Samurai were not a political force under the new order. With the Meiji reforms in the late 19th century, the samurai class was abolished, and a western-style national army was established. The Imperial Japanese Armies were conscripted, but many samurai volunteered as soldiers, and many advanced to be trained as officers. Much of the Imperial Army officer class was of samurai origin, and were highly motivated, disciplined, and exceptionally trained.",Who established a western-style army in Japan?,Emperor Meiji
5725b89c89a1e219009abd70,Israel,"On 15 May 1947, the General Assembly of the newly formed United Nations resolved that a committee, United Nations Special Committee on Palestine (UNSCOP), be created ""to prepare for consideration at the next regular session of the Assembly a report on the question of Palestine"". In the Report of the Committee dated 3 September 1947 to the UN General Assembly, the majority of the Committee in Chapter VI proposed a plan to replace the British Mandate with ""an independent Arab State, an independent Jewish State, and the City of Jerusalem ... the last to be under an International Trusteeship System"". On 29 November 1947, the General Assembly adopted a resolution recommending the adoption and implementation of the Plan of Partition with Economic Union as Resolution 181 (II). The Plan attached to the resolution was essentially that proposed by the majority of the Committee in the Report of 3 September 1947.",What is the UNSCOP?,United Nations Special Committee on Palestine
572cb2d3750c471900ed4cd6,Law_of_the_United_States,"As federal judge Alex Kozinski has pointed out, binding precedent as we know it today simply did not exist at the time the Constitution was framed. Judicial decisions were not consistently, accurately, and faithfully reported on both sides of the Atlantic (reporters often simply rewrote or failed to publish decisions which they disliked), and the United Kingdom lacked a coherent court hierarchy prior to the end of the 19th century. Furthermore, English judges in the eighteenth century subscribed to now-obsolete natural law theories of law, by which law was believed to have an existence independent of what individual judges said. Judges saw themselves as merely declaring the law which had always theoretically existed, and not as making the law. Therefore, a judge could reject another judge's opinion as simply an incorrect statement of the law, in the way that scientists regularly reject each other's conclusions as incorrect statements of the laws of science.",Who has noted that binding precedent did not exist when the Constitution was written?,federal judge Alex Kozinski
5727f4f83acd2414000df0c3,Pope_John_XXIII,"Roncalli was elected pope on 28 October 1958 at age 76 after 11 ballots. His selection was unexpected, and Roncalli himself had come to Rome with a return train ticket to Venice. He was the first pope to take the pontifical name of ""John"" upon election in more than 500 years, and his choice settled the complicated question of official numbering attached to this papal name due to the antipope of this name. Pope John XXIII surprised those who expected him to be a caretaker pope by calling the historic Second Vatican Council (1962–65), the first session opening on 11 October 1962. His passionate views on equality were summed up in his famous statement, ""We were all made in God's image, and thus, we are all Godly alike."" John XXIII made many passionate speeches during his pontificate, one of which was on the day that he opened the Second Vatican Council in the middle of the night to the crowd gathered in St. Peter's Square: ""Dear children, returning home, you will find children: give your children a hug and say: This is a hug from the Pope!""",How old was Roncalli when elected pope?,76
572bdd2e2babe914003c2961,Tennessee,"Stretching west from the Blue Ridge for approximately 55 miles (89 km) is the Ridge and Valley region, in which numerous tributaries join to form the Tennessee River in the Tennessee Valley. This area of Tennessee is covered by fertile valleys separated by wooded ridges, such as Bays Mountain and Clinch Mountain. The western section of the Tennessee Valley, where the depressions become broader and the ridges become lower, is called the Great Valley. In this valley are numerous towns and two of the region's three urban areas, Knoxville, the 3rd largest city in the state, and Chattanooga, the 4th largest city in the state. The third urban area, the Tri-Cities, comprising Bristol, Johnson City, and Kingsport and their environs, is located to the northeast of Knoxville.","Together, Bristol, Johnson City, and Kingsport are known by what name?",the Tri-Cities
56fa84e7f34c681400b0c0de,High-definition_television,"Despite delays in some countries, the number of European HD channels and viewers has risen steadily since the first HDTV broadcasts, with SES's annual Satellite Monitor market survey for 2010 reporting more than 200 commercial channels broadcasting in HD from Astra satellites, 185 million HD capable TVs sold in Europe (£60 million in 2010 alone), and 20 million households (27% of all European digital satellite TV homes) watching HD satellite broadcasts (16 million via Astra satellites).","According to the 2010 Satellite Monitor market survey, how many European households were watching HD broadcasts? ",20 million
572a5da0fed8de19000d5bac,Diarrhea,"Poverty is a good indicator of the rate of infectious diarrhea in a population. This association does not stem from poverty itself, but rather from the conditions under which impoverished people live. The absence of certain resources compromises the ability of the poor to defend themselves against infectious diarrhea. ""Poverty is associated with poor housing, crowding, dirt floors, lack of access to clean water or to sanitary disposal of fecal waste (sanitation), cohabitation with domestic animals that may carry human pathogens, and a lack of refrigerated storage for food, all of which increase the frequency of diarrhea... Poverty also restricts the ability to provide age-appropriate, nutritionally balanced diets or to modify diets when diarrhea develops so as to mitigate and repair nutrient losses. The impact is exacerbated by the lack of adequate, available, and affordable medical care.""",Why does living in poverty raise your risk of diarrhea?,from the conditions under which impoverished people live
57267c335951b619008f7457,Chicago_Cubs,"On November 2, 2014, the Cubs announced that Joe Maddon had signed a five-year contract to be the 54th manager in team history. On December 10, 2014, Maddon announced that the team had signed free agent Jon Lester to a 6-year, $155 million contract. Many other trades and acquisitions occurred during the off season. The opening day lineup for the Cubs contained five new players including rookie right fielder Jorge Soler. Rookies Kris Bryant and Addison Russell were in the starting lineup by mid-April, and rookie Kyle Schwarber was added in mid-June. The Cubs finished the 2015 season with a record of 97–65, third best in the majors. On October 7, in the 2015 National League Wild Card Game, Jake Arrieta pitched a complete game shutout and the Cubs defeated the Pittsburgh Pirates 4–0.",When did the Cubs announce that Joe Maddon had signed a five-year contract to be the 54th manager?,"November 2, 2014"
572fc024a23a5019007fc955,Premier_League,"The managing director of London Weekend Television (LWT), Greg Dyke, met with the representatives of the ""big five"" football clubs in England in 1990. The meeting was to pave the way for a break away from The Football League. Dyke believed that it would be more lucrative for LWT if only the larger clubs in the country were featured on national television and wanted to establish whether the clubs would be interested in a larger share of television rights money. The five clubs decided it was a good idea and decided to press ahead with it; however, the league would have no credibility without the backing of The Football Association and so David Dein of Arsenal held talks to see whether the FA were receptive to the idea. The FA did not enjoy an amicable relationship with the Football League at the time and considered it as a way to weaken the Football League's position.",Why did Greg Dyke of London Weekend Television meet with representatives of the biggest five English football clubs in 1990?,The meeting was to pave the way for a break away from The Football League.
56fae2a48f12f31900630239,Somalis,The exact number of speakers of Somali is unknown. One source estimates that there are 7.78 million speakers of Somali in Somalia itself and 12.65 million speakers globally. The Somali language is spoken by ethnic Somalis in Greater Somalia and the Somali diaspora.,"Along with Greater Somalia ethnic Somalis, who speaks Somali?",the Somali diaspora
56df644096943c1400a5d4ce,Oklahoma_City,"The American Banjo Museum located in the Bricktown Entertainment district is dedicated to preserving and promoting the music and heritage of America's native musical instrument – the banjo. With a collection valued at $3.5 million it is truly a national treasure. An interpretive exhibits tells the evolution of the banjo from its humble roots in American slavery, to bluegrass, to folk and world music.",How much is the collection worth in the museum?,$3.5 million
570d67b0fed7b91900d46003,Valencia,"Valencia stands on the banks of the Turia River, located on the eastern coast of the Iberian Peninsula and the western part of the Mediterranean Sea, fronting the Gulf of Valencia. At its founding by the Romans, it stood on a river island in the Turia, 6.4 km (4 mi) from the sea. The Albufera, a freshwater lagoon and estuary about 11 km (7 mi) south of the city, is one of the largest lakes in Spain. The City Council bought the lake from the Crown of Spain for 1,072,980 pesetas in 1911, and today it forms the main portion of the Parc Natural de l'Albufera (Albufera Nature Reserve), with a surface area of 21,120 hectares (52,200 acres). In 1986, because of its cultural, historical, and ecological value, the Generalitat Valenciana declared it a natural park.",How far from the sea was Valencia when it was founded?,6.4 km
5725bbb1ec44d21400f3d48f,Hellenistic_period,"Philip II was a strong and expansionist king and he took every opportunity to expand Macedonian territory. In 352 BC he annexed Thessaly and Magnesia. In 338 BC, Philip defeated a combined Theban and Athenian army at the Battle of Chaeronea after a decade of desultory conflict. In the aftermath, Philip formed the League of Corinth, effectively bringing the majority of Greece under his direct sway. He was elected Hegemon of the league, and a campaign against the Achaemenid Empire of Persia was planned. However, while this campaign was in its early stages, he was assassinated.",When did King Philip the II annex Thessaly and Magnesia?,352 BC
572e8ce903f9891900756775,Canadian_football,"Penalties never result in a score for the offence. For example, a point-of-foul infraction committed by the defence in their end zone is not ruled a touchdown, but instead advances the ball to the one-yard line with an automatic first down. For a distance penalty, if the yardage is greater than half the distance to the goal line, then the ball is advanced half the distance to the goal line, though only up to the one-yard line (unlike American football, in Canadian football no scrimmage may start inside either one-yard line). If the original penalty yardage would have resulted in a first down or moving the ball past the goal line, a first down is awarded.",Where is the ball placed when a defensive penalty is committed in their own end zone?,one-yard line
5726ebefdd62a815002e9551,History_of_science,"The English word scientist is relatively recent—first coined by William Whewell in the 19th century. Previously, people investigating nature called themselves natural philosophers. While empirical investigations of the natural world have been described since classical antiquity (for example, by Thales, Aristotle, and others), and scientific methods have been employed since the Middle Ages (for example, by Ibn al-Haytham, and Roger Bacon), the dawn of modern science is often traced back to the early modern period and in particular to the scientific revolution that took place in 16th- and 17th-century Europe. Scientific methods are considered to be so fundamental to modern science that some consider earlier inquiries into nature to be pre-scientific. Traditionally, historians of science have defined science sufficiently broadly to include those inquiries.","When was the word ""scientist"" created?",19th century
5727cc384b864d1900163d52,Oklahoma,"The name Oklahoma comes from the Choctaw phrase okla humma, literally meaning red people. Choctaw Chief Allen Wright suggested the name in 1866 during treaty negotiations with the federal government regarding the use of Indian Territory, in which he envisioned an all-Indian state controlled by the United States Superintendent of Indian Affairs. Equivalent to the English word Indian, okla humma was a phrase in the Choctaw language used to describe Native American people as a whole. Oklahoma later became the de facto name for Oklahoma Territory, and it was officially approved in 1890, two years after the area was opened to white settlers.",When was the name Oklahoma made official?,1890
570ffb75b654c5140001f714,Capital_punishment_in_the_United_States,"Traditionally, Section 1983 was of limited use for a state prisoner under sentence of death because the Supreme Court has held that habeas corpus, not Section 1983, is the only vehicle by which a state prisoner can challenge his judgment of death. In the 2006 Hill v. McDonough case, however, the United States Supreme Court approved the use of Section 1983 as a vehicle for challenging a state's method of execution as cruel and unusual punishment in violation of the Eighth Amendment. The theory is that a prisoner bringing such a challenge is not attacking directly his judgment of death, but rather the means by which that the judgment will be carried out. Therefore, the Supreme Court held in the Hill case that a prisoner can use Section 1983 rather than habeas corpus to bring the lawsuit. Yet, as Clarence Hill's own case shows, lower federal courts have often refused to hear suits challenging methods of execution on the ground that the prisoner brought the claim too late and only for the purposes of delay. Further, the Court's decision in Baze v. Rees, upholding a lethal injection method used by many states, has drastically narrowed the opportunity for relief through Section 1983.",What case notably upheld the use of a method of lethal injection?,Baze v. Rees
573409114776f4190066175f,"Tucson,_Arizona","Tucson was probably first visited by Paleo-Indians, known to have been in southern Arizona about 12,000 years ago. Recent archaeological excavations near the Santa Cruz River have located a village site dating from 2100 BC.[citation needed] The floodplain of the Santa Cruz River was extensively farmed during the Early Agricultural period, circa 1200 BC to AD 150. These people constructed irrigation canals and grew corn, beans, and other crops while gathering wild plants and hunting. The Early Ceramic period occupation of Tucson saw the first extensive use of pottery vessels for cooking and storage. The groups designated as the Hohokam lived in the area from AD 600 to 1450 and are known for their vast irrigation canal systems and their red-on-brown pottery.[citation needed]",How long ago were Paleo-Indians known to be in the Tucson area?,"about 12,000 years ago"
572f9b7f947a6a140053cac0,Washington_University_in_St._Louis,"The process of desegregation at Washington University began in 1947 with the School of Medicine and the School of Social Work. During the mid and late 1940s, the University was the target of critical editorials in the local African American press, letter-writing campaigns by churches and the local Urban League, and legal briefs by the NAACP intended to strip its tax-exempt status. In spring 1949, a Washington University student group, the Student Committee for the Admission of Negroes (SCAN), began campaigning for full racial integration. In May 1952, the Board of Trustees passed a resolution desegregating the school's undergraduate divisions.",When did Washington University begin desegregation?,1947
5731514505b4da19006bd03f,Mosaic,"After 539 Ravenna was reconquered by the Romans in the form of the Eastern Roman Empire (Byzantine Empire) and became the seat of the Exarchate of Ravenna. The greatest development of Christian mosaics unfolded in the second half of the 6th century. Outstanding examples of Byzantine mosaic art are the later phase mosaics in the Basilica of San Vitale and Basilica of Sant'Apollinare Nuovo. The mosaic depicting Emperor Saint Justinian I and Empress Theodora in the Basilica of San Vitale were executed shortly after the Byzantine conquest. The mosaics of the Basilica of Sant'Apollinare in Classe were made around 549. The anti-Arian theme is obvious in the apse mosaic of San Michele in Affricisco, executed in 545–547 (largely destroyed; the remains in Berlin).",When did the biggest achievement in Christian mosaics take place?,the second half of the 6th century
